sequence,world_index,owner,sector,cluster,x,y,z,aim_x,aim_y,aim_z,shots,standoff_m
27,351,Anzhong Building,7,175,14.513754946799398,61.42052295907187,22.543651651573118,24.09834727684254,85.38200378417969,22.543651651573118,4,25.80730438232422
28,255,Anzhong Building,0,152,28.291606421236402,57.8263008353057,29.806589538966094,24.09834727684254,85.38200378417969,22.543651651573118,8,28.803653717041016
29,360,Anzhong Building,0,12,36.64786027843462,56.628226794050306,24.888141028370253,36.64786027843464,85.38200378417969,20.215652267474226,8,29.130943298339844
30,195,unassigned,0,147,35.439258714751276,55.17948081517783,20.03984721378524,35.59239451398426,31.21848933404327,16.14610657970522,4,24.275785446166992
31,196,unassigned,0,147,35.439258714751276,55.17948081517783,16.14610657970522,35.59239451398426,31.21848933404327,16.14610657970522,4,23.96148109436035
32,363,unassigned,7,188,53.233222521589354,69.21535867074572,21.590355931867204,81.98699951171875,69.21535867074572,16.917867170971178,8,29.130943298339844
33,0,Anzhong Building,0,146,55.951389807825166,57.8263008353057,29.036448558645645,51.7581306634313,85.3820037841797,21.77351067125267,4,28.803653717041016
34,357,Anzhong Building,0,21,64.87335880890643,56.628226794050306,25.82239697378068,76.37486960495819,85.3820037841797,21.149908212884654,4,31.31926918029785
35,364,unassigned,7,188,64.01588889288789,62.02691442321338,19.838172646531195,81.98699951171875,69.21535867074572,16.917867170971178,8,19.574542999267578
36,368,unassigned,7,203,63.595494692291695,63.74611817772728,16.54214888829098,81.59326419599861,31.51248300912609,9.18297908987974,8,37.64418029785156
37,166,unassigned,7,147,63.40464255701613,60.150602906086554,6.764670878876835,52.087129605151105,31.323907945093257,6.764670878876835,4,30.968765258789062
38,350,Anzhong Building,0,171,54.477542348320085,56.628226794050306,12.66933162387977,42.976031552268346,85.38200378417969,7.996842862983748,8,31.31926918029785
39,279,unassigned,7,135,35.07567114677869,59.96955114611368,4.80768870723672,23.758158194913676,31.142856185120383,9.480177468132744,8,31.31926918029785
40,280,unassigned,7,135,35.07567114677869,59.96955114611368,14.152666229028767,23.758158194913676,31.142856185120383,9.480177468132744,8,31.31926918029785
41,194,unassigned,0,147,25.854862122297455,55.11822649548465,12.2523659456252,35.59239451398426,31.21848933404327,16.14610657970522,4,26.099390029907227
42,271,unassigned,7,135,23.57439523583409,59.89604596248185,9.480177468132744,23.758158194913676,31.142856185120383,9.480177468132744,8,28.75377655029297
43,272,unassigned,7,135,23.57439523583409,59.89604596248185,4.80768870723672,23.758158194913676,31.142856185120383,9.480177468132744,8,29.130943298339844
44,273,unassigned,0,135,16.455008901148567,49.06765905620142,6.559871992572728,23.758158194913676,31.142856185120383,9.480177468132744,4,19.574542999267578
45,274,unassigned,0,135,16.455008901148567,49.06765905620142,9.480177468132744,23.758158194913676,31.142856185120383,9.480177468132744,8,19.355478286743164
46,276,unassigned,0,135,16.455008901148567,49.06765905620142,12.40048294369276,23.758158194913676,31.142856185120383,9.480177468132744,8,19.574542999267578
47,270,unassigned,0,135,14.02062580322687,55.04259334656176,13.373918102212762,23.758158194913676,31.142856185120383,9.480177468132744,8,26.099390029907227
48,362,unassigned,0,40,1.190514413952,51.36629998737414,22.85763011891493,12.522443360730435,31.071048214551173,18.224078764359703,8,23.70189094543457
